epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3472,1.3962,2.31924,1.44505,0.38963,0.48378,0.37034,0.23285,1.23043,2.15173,1.3834,0.000553814,0.000553814,0.000553814
2,101.908,1.33672,1.82115,1.4143,0.4763,0.50152,0.46826,0.27561,1.32462,1.82689,1.47946,0.0010985,0.0010985,0.0010985
3,149.653,1.31277,1.64922,1.40142,0.42863,0.5202,0.45389,0.27719,1.38226,1.85706,1.52344,0.00163218,0.00163218,0.00163218
4,196.98,1.27831,1.55028,1.37784,0.57803,0.55776,0.57132,0.37766,1.22293,1.50039,1.4119,0.00161749,0.00161749,0.00161749
5,246.051,1.22197,1.44315,1.34387,0.60348,0.57934,0.60352,0.42454,1.08263,1.31777,1.30163,0.00160099,0.00160099,0.00160099
6,294.409,1.18378,1.34944,1.32056,0.66602,0.5557,0.61785,0.44183,1.07659,1.37079,1.29975,0.00158448,0.00158448,0.00158448
7,341.232,1.14959,1.27808,1.2981,0.57372,0.60282,0.57654,0.39905,1.09788,1.4343,1.29931,0.00156798,0.00156798,0.00156798
8,389.742,1.1209,1.2318,1.27059,0.6834,0.60838,0.68231,0.49256,1.04051,1.22446,1.25514,0.00155148,0.00155148,0.00155148
9,436.474,1.0887,1.17277,1.25273,0.67095,0.65179,0.68689,0.50354,0.98399,1.10457,1.22198,0.00153497,0.00153497,0.00153497
10,483.255,1.06838,1.1271,1.24182,0.6703,0.62822,0.66687,0.49106,0.97397,1.1677,1.20803,0.00151847,0.00151847,0.00151847
11,529.929,1.05577,1.08402,1.24076,0.69525,0.58625,0.64585,0.48222,0.95738,1.21998,1.19342,0.00150197,0.00150197,0.00150197
12,576.526,1.02847,1.04334,1.21828,0.70684,0.62909,0.66659,0.50339,0.93253,1.09915,1.1855,0.00148546,0.00148546,0.00148546
13,623.373,1.00357,0.9958,1.20446,0.72684,0.63136,0.67399,0.51096,0.93199,1.09496,1.168,0.00146896,0.00146896,0.00146896
14,670.206,0.99134,0.97195,1.19161,0.66755,0.65045,0.65962,0.48402,0.96819,1.20864,1.21028,0.00145246,0.00145246,0.00145246
15,716.946,0.99139,0.96752,1.19189,0.63793,0.64465,0.64253,0.47912,0.95976,1.21087,1.19163,0.00143595,0.00143595,0.00143595
16,763.789,0.97528,0.92252,1.18312,0.70114,0.64814,0.71302,0.54436,0.91609,1.06032,1.18374,0.00141945,0.00141945,0.00141945
17,810.796,0.95771,0.89676,1.16853,0.72751,0.6571,0.70247,0.52861,0.90963,1.02176,1.1564,0.00140295,0.00140295,0.00140295
18,857.958,0.94532,0.87183,1.15671,0.6897,0.64062,0.67571,0.50562,0.93516,1.16792,1.19185,0.00138644,0.00138644,0.00138644
19,903.505,0.92834,0.85568,1.15184,0.73654,0.61602,0.67149,0.51284,0.9116,1.13408,1.17511,0.00136994,0.00136994,0.00136994
20,948.913,0.9324,0.83814,1.15185,0.7026,0.65242,0.70541,0.54732,0.88327,1.05023,1.14136,0.00135344,0.00135344,0.00135344
21,994.258,0.90088,0.81128,1.13765,0.67749,0.6513,0.68611,0.53077,0.88009,1.11747,1.13524,0.00133693,0.00133693,0.00133693
22,1039.75,0.90561,0.79894,1.13157,0.69698,0.68717,0.70347,0.53876,0.87386,1.01658,1.13796,0.00132043,0.00132043,0.00132043
23,1085.17,0.90016,0.78109,1.13363,0.73813,0.66884,0.74109,0.58105,0.86638,0.98815,1.12137,0.00130393,0.00130393,0.00130393
24,1130.55,0.87646,0.75406,1.11956,0.70923,0.66917,0.70623,0.54961,0.87751,1.04588,1.14231,0.00128742,0.00128742,0.00128742
25,1175.75,0.88206,0.76464,1.12792,0.74155,0.65173,0.68367,0.51614,0.94857,1.05772,1.21068,0.00127092,0.00127092,0.00127092
26,1222.35,0.87615,0.75303,1.12181,0.69936,0.67064,0.70162,0.54314,0.8741,1.08836,1.12711,0.00125442,0.00125442,0.00125442
27,1267.88,0.86205,0.72414,1.10892,0.68963,0.62976,0.64841,0.48927,0.8937,1.29323,1.17291,0.00123791,0.00123791,0.00123791
28,1315.66,0.85055,0.71497,1.10539,0.74308,0.63129,0.68111,0.5352,0.85803,1.12,1.13091,0.00122141,0.00122141,0.00122141
29,1362.61,0.84996,0.70628,1.1038,0.75278,0.62915,0.71041,0.56314,0.8552,1.08928,1.1167,0.00120491,0.00120491,0.00120491
30,1409.59,0.83407,0.6875,1.09849,0.7579,0.68587,0.73351,0.5769,0.84946,0.98119,1.12284,0.0011884,0.0011884,0.0011884
31,1456.3,0.83686,0.68563,1.09675,0.75591,0.6421,0.69291,0.55447,0.83774,1.05802,1.11279,0.0011719,0.0011719,0.0011719
32,1503.2,0.829,0.67484,1.09254,0.71668,0.66915,0.71199,0.56128,0.8486,1.08607,1.11966,0.0011554,0.0011554,0.0011554
33,1549.91,0.82292,0.66124,1.08453,0.74309,0.65402,0.71089,0.56977,0.83847,1.03278,1.11511,0.00113889,0.00113889,0.00113889
34,1596.82,0.81228,0.65319,1.08432,0.69475,0.69171,0.70797,0.56358,0.83971,1.03724,1.11723,0.00112239,0.00112239,0.00112239
35,1643.86,0.80005,0.63447,1.07529,0.71459,0.67511,0.72271,0.56902,0.84641,1.01929,1.13628,0.00110589,0.00110589,0.00110589
36,1690.67,0.79251,0.63305,1.07103,0.77737,0.65215,0.70562,0.55891,0.84517,1.0273,1.12259,0.00108938,0.00108938,0.00108938
37,1737.34,0.78766,0.62103,1.07021,0.7782,0.63991,0.7191,0.57692,0.81954,1.04692,1.0988,0.00107288,0.00107288,0.00107288
38,1784.3,0.78202,0.6213,1.06381,0.78604,0.64056,0.7195,0.57887,0.83557,1.04525,1.11253,0.00105638,0.00105638,0.00105638
39,1830.93,0.77625,0.61266,1.06135,0.75365,0.64173,0.71115,0.5754,0.82194,1.09566,1.10053,0.00103987,0.00103987,0.00103987
40,1878.06,0.76869,0.60337,1.05734,0.77921,0.6352,0.70669,0.56407,0.83014,1.06508,1.10948,0.00102337,0.00102337,0.00102337
41,1924.93,0.7628,0.589,1.04929,0.78526,0.61843,0.70192,0.55753,0.84207,1.08112,1.13061,0.00100687,0.00100687,0.00100687
42,1972.43,0.76042,0.59124,1.05073,0.75616,0.6502,0.69742,0.55536,0.82579,1.0849,1.11413,0.000990365,0.000990365,0.000990365
